SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LMB
240,MODEL1,PARMS,LMB,1.203016843,7.714725471,0.321738949,-0.726503264,2.571907172,0.033221929,0.928818167,-2.215061419,-1
241,MODEL1,PARMS,LMB,1.131181385,15.83924881,0.606329747,-1.508626825,5.601428618,-0.59274264,3.291154079,-7.706657608,-1
242,MODEL1,PARMS,LMB,1.151255176,-0.309965818,0.567467339,-0.982298451,3.025284569,0.463922184,0.090452736,-0.029006196,-1
243,MODEL1,PARMS,LMB,1.22743787,4.542560278,0.0654019,-0.056717251,0.486932371,0.31933912,0.011142399,-0.908454872,-1
244,MODEL1,PARMS,LMB,1.220592983,10.93721148,0.451270829,-0.769951702,2.506413794,-0.241595361,2.774067853,-6.947011432,-1
245,MODEL1,PARMS,LMB,1.1945045,8.37211336,0.305857031,-0.296637527,1.30375965,-0.050113026,2.413238897,-6.339314515,-1
246,MODEL1,PARMS,LMB,1.242462995,-0.836879049,0.31227781,-0.975013434,3.259878676,0.606068649,-0.679423133,0.85131954,-1
247,MODEL1,PARMS,LMB,1.225044532,5.125355144,0.104665914,-0.490203054,2.324475514,0.266518542,0.206037521,-0.174183204,-1
248,MODEL1,PARMS,LMB,1.320268947,14.28554334,0.188303294,-0.800086867,2.823567837,-0.320846643,0.357305853,-0.589666183,-1
249,MODEL1,PARMS,LMB,1.127332589,11.75776328,0.269406093,-0.322290627,0.531536314,-0.240453205,1.777399817,-3.678616448,-1
